Feature	Gain	Cover	Frequency
cmobile_app_trx	0.00174353803225384	0.0063855687243538	0.00493290192542301
ccajas_consultas	0.00169443847591348	0.00545551859205236	0.0036068530207394
Master_mconsumospesos	0.00167174057947541	0.00127663591143347	0.0036068530207394
internet	0.00162817246681793	0.00816048909120572	0.00381902084548878
mplazo_fijo_dolares	0.00147910013892968	0.0175260845470673	0.00572853126823317
mttarjeta_master_debitos_automaticos	0.00147600513155858	0.0151770050877292	0.00742587386622819
mextraccion_autoservicio	0.00137478990187477	0.00250335862592787	0.00371293693311409
ctarjeta_visa_debitos_automaticos	0.00133626903453902	0.00523257340070663	0.00620590887391927
cextraccion_autoservicio	0.00122258545452408	0.00098534883780243	0.00190951042274439
Visa_Finiciomora	0.0012064234433298	0.014232121879732	0.00472073410067363
Visa_mpagado	0.00115113420107294	0.00515461792709527	0.00546332148729645
Visa_mconsumototal	0.00114622120885385	0.00232540599069773	0.00461465018829895
matm	0.00107977376384838	0.00180745162144768	0.0027581817217419
ctarjeta_debito	0.000971022508419516	0.0014218264393814	0.00259905585317987
matm_other	0.000881710763190987	0.00656588680902864	0.00472073410067363
tcuentas	0.000877426535233397	0.00858893586542532	0.00265209780936721
ctarjeta_visa	0.000851166332021865	0.000966983399767545	0.0018034265103697
ctarjeta_master_transacciones	0.00069149347838894	0.000244291158928254	0.000848671298997507
cpagomiscuentas	0.000630162594457284	0.000559212171630099	0.00169734259799501
ccheques_emitidos	0.000627825772217027	0.00740621746780658	0.0018034265103697
mcaja_ahorro_adicional	0.000621058013028884	0.0141971318859073	0.00450856627592426
cseguro_auto	0.00060304407084404	0.0126950683261574	0.00281122367792924
ccajas_otras	0.000526877717329655	0.00317256894028486	0.00175038455418236
cplazo_fijo	0.000523001590748434	0.00111585017768802	0.0013260489046836
Visa_fultimo_cierre	0.000521380543546111	0.00171372384956702	0.00212167824749377
mprestamos_prendarios	0.000509277120726795	0.0179811299780775	0.00397814671405081
cseguro_accidentes_personales	0.000493945968329078	0.00603171108559866	0.00238688802843049
catm_trx	0.000465601313159626	0.000540649085747228	0.000689545430435474
Master_mconsumototal	0.000455848336036513	0.000242945572379163	0.00111388107993423
catm_trx_other	0.000454113790175621	0.00369556253906717	0.00212167824749377
Master_cconsumos	0.000442972118562131	0.00015903220203811	0.000689545430435474
ctransferencias_emitidas	0.000391861507231635	0.000919971673236921	0.000954755211372195
Master_mpagado	0.000336692799701869	0.00108000318279445	0.00137909086087095
Master_delinquency	0.000332061260606814	0.0024478417172027	0.00116692303612157
Visa_msaldodolares	0.000286443455286716	0.00138174503699257	0.00106083912374688
minversion2	0.00027856071326638	0.0158323958645549	0.00339468519599003
mcheques_emitidos	0.000251291023774826	0.0024225586044883	0.000689545430435474
mforex_sell	0.000244880030811686	0.00094567538057184	0.00100779716755954
Visa_mpagosdolares	0.000225524044625482	0.000647407384949927	0.000795629342810163
Master_Finiciomora	0.000199411222935353	0.00526150430210346	0.00121996499230892
Master_fultimo_cierre	0.000180245904632409	0.000565064129113277	0.000689545430435474
ctarjeta_master	0.000172869052022739	0.000133956224268395	0.000212167824749377
Visa_delinquency	0.000165582578240989	0.000375529329991141	0.000265209780936721
mcheques_depositados	0.000134731424323178	0.00461901597679422	0.00121996499230892
cseguro_vida	0.00012948443358337	5.01203318837519e-05	0.000106083912374688
ccheques_depositados	0.000115278686042584	0.0016155956459988	0.000583461518060786
minversion1_pesos	0.000101383971466875	0.00432977969723389	0.00111388107993423
mtarjeta_visa_descuentos	9.52865243445862e-05	0.000681369609965105	0.000530419561873442
ctarjeta_master_debitos_automaticos	7.91042077143614e-05	0.000181888199179243	0.000318251737124065
mtarjeta_master_descuentos	7.0718244824008e-05	0.000165826544460486	0.000265209780936721
mforex_buy	6.87809556881582e-05	0.0061078418742774	0.00137909086087095
cforex_sell	6.68486443943982e-05	0.000183641730886577	0.000212167824749377
cseguro_vivienda	5.37106398123042e-05	8.01533176809625e-05	0.000159125868562033
Master_mpagosdolares	4.38919237136041e-05	4.6186349117433e-06	5.30419561873442e-05
Master_madelantopesos	4.08578767172329e-05	8.63642036560833e-06	5.30419561873442e-05
Master_mconsumosdolares	4.08498266196154e-05	1.97458106052209e-05	5.30419561873442e-05
Master_msaldodolares	3.99739128172036e-05	0.000155526719806225	0.000212167824749377
cinversion2	2.07764340210886e-05	3.30419766349537e-05	0.000106083912374688
cprestamos_prendarios	2.01522375097714e-05	0.000223349974138412	0.000106083912374688
ctarjeta_master_descuentos	1.9116326382076e-05	1.61818246103324e-05	5.30419561873442e-05
cforex_buy	1.19717771032686e-05	4.22934771034953e-05	5.30419561873442e-05
