num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
1966	0.0314322516471675	0.678653796369667	48	145	0.930743205665835	55			61.9900000000016	-0.000410397109747842		0.0999999999985448	infill_ei	0.369999999998981	0.000645665077230136	0.932434227149308	75
1682	0.0107927177269198	0.601133922556268	105	149	0.930741610947189	46			217.870000000003	-0.000102017308623656		0.0900000000001455	infill_ei	0.379999999997381	0.000622943531994507	0.93178583566994	66
1528	0.0204860839921087	0.758636100945082	33	492	0.930712564096378	38			82.989999999998	-8.24829332674958e-05		0.0399999999972351	infill_ei	0.330000000001746	0.00106900040053283	0.931059099275502	58
795	0.0178689832442323	0.60002204914291	122	158	0.930706060835059	58			114.66	-5.88344107809431e-05		0.0399999999972351	infill_ei	0.380000000001019	0.00134290935064763	0.930400886795912	78
1718	0.0365696883234426	0.603949711537806	511	568	0.930698357473676	41			59.4700000000012	-9.72141879698347e-05		0.0299999999988358	infill_ei	0.349999999998545	0.00132879084647025	0.930752522597452	61
1555	0.0207347529625323	0.606797844531175	232	467	0.930693455036603	11			99.8400000000002	-0.000276115834403102		0.0300000000024738	infill_ei	0.239999999997963	0.000812802064942005	0.930645584517936	31
1300	0.0186834926414223	0.731216094197332	32	504	0.930666137623158	59			86.9200000000019	-8.85134405625982e-05		0.0900000000001455	infill_ei	0.409999999999855	0.00102346232956102	0.931167544468664	79
1378	0.0147824788476484	0.600173520443636	52	376	0.930591087746798	16			114.969999999998	-0.000130641750515195		0.0100000000020373	infill_ei	0.25	0.000794166323317593	0.931162219701195	36
2000	0.0285365169843157	0.602212779281742	216	212	0.93052741953011	34			100.919999999998	-0.00031742818852246		0.0299999999988358	infill_ei	0.330000000001746	0.000751012337891688	0.932205854325209	54
2000	0.0369271168374901	0.604809809241623	32	50	0.930498489824019	27			84.5	-6.37001547235867e-05		0.0299999999988358	infill_ei	0.330000000001746	0.00133724000300931	0.929941068586691	47
1226	0.0240017015449649	0.659992233421953	46	137	0.930480077574093	56			64.1100000000006	-6.34399249298385e-05		0.0300000000024738	infill_ei	0.389999999999418	0.00108866774243742	0.930884684102032	76
1929	0.0287723556635816	0.600708148330454	35	165	0.930470273728286	33			80.119999999999	-0.000172109821151975		0.0200000000004366	infill_ei	0.330000000001746	0.000548056851236903	0.932070488380511	53
1337	0.0330719733051305	0.619318609050422	492	193	0.930449733180671	0			79.380000000001				initdesign				16
720	0.0219000576190213	0.925026994825018	32	705	0.930408259034015	0			64.7999999999993				initdesign				8
1888	0.0336989909617166	0.600162479708533	296	358	0.930401182078501	19			69.7200000000012	-8.485792517483e-05		0.0200000000004366	infill_ei	0.259999999998399	0.00140614346251823	0.930013876576983	39
1853	0.028303806866648	0.788315100738733	46	179	0.930394998941153	36			80.6400000000031	-0.000121114721650103		0.0299999999988358	infill_ei	0.330000000001746	0.00109839445481388	0.931238863177785	56
695	0.0214437972964992	0.940859612057839	502	701	0.930377397366421	8			71.6599999999999	-0.000309451791075488		0.00999999999839929	infill_ei	0.25	0.00110354561340494	0.930454599652623	28
866	0.0362332363525902	0.685096049380635	232	171	0.930364559371025	35			65.4500000000007	-3.53052752143189e-05		0.00999999999839929	infill_ei	0.330000000001746	0.0014960340038713	0.929786904799666	55
1536	0.0318537601937801	0.600882660640763	75	524	0.930354272448848	14			61	-0.000351254625655879		0.0200000000004366	infill_ei	0.229999999999563	0.00123606747287168	0.930431177892889	34
1999	0.00979349341540871	0.600090294522465	83	670	0.930295286724564	3			150.75	-0.000545945704377601		0	infill_ei	0.18999999999869	0.00143708695267802	0.930394137150425	23
1393	0.025404124267644	0.600269186359646	32	774	0.9302753451218	25			94.9500000000007	-0.000313166407826248		0.00999999999839929	infill_ei	0.299999999999272	0.000641887122562553	0.931757983076246	45
1782	0.0173249800332929	0.661652803613987	301	259	0.930257852038083	0			107.029999999999				initdesign				5
772	0.0269512172965497	0.875736551609552	364	76	0.930232247886092	1			90.75	-0.000600205055338842		0.0200000000004366	infill_ei	0.19999999999709	0.00184741148086735	0.93015775007938	21
1720	0.011041759342988	0.802450617797959	71	308	0.930199347652704	0			173.43				initdesign				1
1573	0.0193758719677126	0.704096644861691	35	54	0.930161618195839	12			80.4799999999996	-0.00025308154754942		0	infill_ei	0.239999999997963	0.000802173475708949	0.930602716602829	32
1243	0.0374418999315042	0.770916767715986	372	353	0.930157496490457	0			61.8500000000022				initdesign				3
1784	0.0400034565690866	0.699429274657567	74	446	0.930150901383243	44			65.8100000000013	-4.42779210787095e-05		0.069999999999709	infill_ei	0.360000000000582	0.00116513868666995	0.930558635349111	64
1347	0.0291403949850803	0.600832058409146	140	421	0.930144096945119	39			77.3099999999977	-4.99749532750452e-05		0.0299999999988358	infill_ei	0.330000000001746	0.000994542051419044	0.930924504210056	59
1285	0.0292095213771201	0.936089554841445	507	790	0.930130924367987	45			59.2000000000007	-5.26443804745273e-05		0.0299999999988358	infill_ei	0.360000000000582	0.00130339113032411	0.930403782557043	65
1322	0.0187943125964836	0.600150564996409	397	237	0.93010185340089	20			100.029999999999	-5.99130554654787e-05		0.0299999999988358	infill_ei	0.270000000000437	0.000843905992603924	0.930737187287253	40
1499	0.0277313872654099	0.826962924623972	40	231	0.930101273668344	50			72.3499999999986	-0.000119530925474117		0.069999999999709	infill_ei	0.400000000001455	0.00091997033651868	0.931475848301364	70
1920	0.00860769355280187	0.627337950086018	307	51	0.930069805854071	4			238.299999999999	-0.000500308058687899		0.0200000000004366	infill_ei	0.180000000000291	0.00127859515328735	0.930430057172537	24
1999	0.00500455851762213	0.947007278611752	104	453	0.930051186296714	28			291.790000000001	-6.43746749376928e-05		0.0299999999988358	infill_ei	0.319999999999709	0.00133470053559713	0.929952189147806	48
1657	0.0309416668440261	0.604102749807306	53	131	0.930043683515364	37			81.3400000000002	-0.000401371969355858		0.0399999999972351	infill_ei	0.350000000002183	0.000874990680775136	0.932270913107048	57
1614	0.00791932423412088	0.705375135339687	285	747	0.930017889211998	0			191.68				initdesign				12
1044	0.0207269533693805	0.693466874513801	114	402	0.929977229361386	0			118.75				initdesign				13
2000	0.0242636329067698	0.666974998150173	32	117	0.929961228208624	49			79.6700000000019	-0.000595068336578974		0.0499999999992724	infill_ei	0.389999999999418	0.000525342316044301	0.932726811790795	69
701	0.0325925195600272	0.618109889441303	512	50	0.929959469310889	7			79.3500000000022	-0.000375993803685712		0	infill_ei	0.209999999999127	0.0011136744727374	0.930602892121487	27
1211	0.0334003773489684	0.846853037279945	323	414	0.929902361838193	43			55.1699999999983	-2.89116710046581e-05		0.00999999999839929	infill_ei	0.330000000001746	0.00141047399861599	0.929839607849756	63
1269	0.0438848948112472	0.670535519918607	243	58	0.929902168208418	18			54.1399999999994	-0.0001617583406156		0.0299999999988358	infill_ei	0.239999999997963	0.00133986245853293	0.930582306284882	38
1490	0.0199298822845577	0.914435920655775	116	706	0.929894930279599	13			81.4500000000007	-0.000430977382646573		0.0200000000004366	infill_ei	0.229999999999563	0.000849429620419726	0.930917494252393	33
931	0.0236880373833961	0.737152283747605	203	625	0.929833437283986	0			76.1399999999994				initdesign				2
1410	0.00656968696140052	0.617122149583122	133	564	0.929804313290517	26			202.620000000003	-0.000176113288029751		0.00999999999839929	infill_ei	0.319999999999709	0.000861766035973094	0.93123815085764	46
782	0.0290795478592152	0.617451756591901	461	863	0.929795430618043	0			60.1700000000019				initdesign				7
1499	0.041681981191936	0.88401893566268	339	173	0.929785286392295	0			65.3400000000002				initdesign				20
1318	0.0189309596482211	0.617488418490912	36	847	0.929770323315243	29			93.75	-0.000153330797065023		0.0299999999988358	infill_ei	0.30000000000291	0.000634141887015211	0.931417791978294	49
1703	0.0164798744498284	0.610760216887608	32	761	0.92976119052889	10			106.16	-0.000356957549689248		0.0200000000004366	infill_ei	0.209999999999127	0.000959214752919632	0.930694330561288	30
1878	0.0499918759887107	0.602405801114538	512	138	0.929737898662562	32			71.4700000000012	-6.26975963510522e-05		0.0100000000020373	infill_ei	0.309999999997672	0.00205006548152604	0.929134233533568	52
909	0.0362771656789469	0.679761470277534	246	533	0.929664889237024	0			52.869999999999				initdesign				4
