Feature	Gain	Cover	Frequency
Master_status	0.00427679848401515	0.00402802550143389	0.00295802598569663
Visa_cconsumos	0.00418165172870352	0.0106265290694509	0.0128056314823829
Master_msaldopesos	0.00401557867362869	0.00675273596500053	0.00939828509379563
ccuenta_debitos_automaticos	0.00370300454484101	0.00427806770749841	0.0048676376979818
cextraccion_autoservicio	0.00369486064842561	0.00339816019230788	0.00475530759725915
ccajas_transacciones	0.00368437711667664	0.00471523258793866	0.00269592241734377
Master_mpagominimo	0.00339221212522044	0.00664381121869688	0.00782566368367844
thomebanking	0.00329021999343822	0.00677202144801945	0.00411877035983076
Master_mconsumospesos	0.00322590690622836	0.00405820548100761	0.0087991912232748
ccallcenter_transacciones	0.00318937510445516	0.00330539797480573	0.00370689332384768
Visa_madelantopesos	0.00293722526359493	6.39801229680593e-05	3.74433669075523e-05
Visa_mconsumosdolares	0.00280732861893726	0.00555916731000856	0.00726401318006515
ccaja_ahorro	0.00273022258518521	0.00415086476417417	0.00277080915115887
ccajas_consultas	0.00266819634822974	0.00219374575075919	0.0015726214101172
ccaja_seguridad	0.00254520973452444	0.00486591466940074	0.00209682854682293
catm_trx	0.00249043905526397	0.00158125612510419	0.00310779945332684
cmobile_app_trx	0.00218798298362313	0.00656315940958876	0.00396899689220055
ctarjeta_debito	0.00215098251757317	0.00423964011428516	0.00539184483468754
internet	0.00209539193503264	0.00711876494803576	0.00389411015838544
ctransferencias_emitidas	0.00207634813462187	0.00298436692038703	0.00512974126633467
Master_mconsumototal	0.00200696927004207	0.00205233327384004	0.00527951473396488
tcallcenter	0.00174306998532429	0.00186683916770248	0.00175983824465496
ctarjeta_visa_debitos_automaticos	0.00171929022327857	0.00725330839616709	0.00599093870520837
mttarjeta_master_debitos_automaticos	0.00170522499654952	0.0087344801800934	0.0056539484030404
Visa_Finiciomora	0.00168885172927824	0.011709476399715	0.00483019433107425
matm	0.00164411408023787	0.00686001100476496	0.0063653723742839
Master_cconsumos	0.00162817560646187	0.000724451853915256	0.00228404538136069
ccajas_otras	0.00153060005904347	0.00393001271375984	0.00179728161156251
matm_other	0.00151743302316931	0.00523840186293796	0.00490508106488935
Visa_mpagado	0.00145059050617185	0.00588947991670557	0.00539184483468754
mplazo_fijo_dolares	0.00140537605893586	0.0113717130014228	0.00438087392818362
cpagomiscuentas	0.00129196717933559	0.00182337422544107	0.00396899689220055
Visa_delinquency	0.00126688031434507	0.000764029186894837	0.000711423971243494
ctarjeta_master_transacciones	0.0012459315686474	0.00278551248892322	0.00295802598569663
Master_fultimo_cierre	0.00112455683773015	0.0036578699544092	0.00415621372673831
Visa_fultimo_cierre	0.0010916013279572	0.00355668642157621	0.0032201295540495
catm_trx_other	0.000983543612330242	0.00319010508554373	0.00303291271951174
Visa_msaldodolares	0.000906347511445106	0.00230367410683489	0.00355711985621747
Visa_mpagosdolares	0.000887622339930657	0.00166988166899463	0.00269592241734377
tcuentas	0.000853787715183723	0.00988137087106289	0.00280825251806643
cseguro_accidentes_personales	0.000796036184862571	0.00340509355505544	0.0023589321151758
Master_mpagado	0.000526752506337371	0.00192943427242285	0.00161006477702475
cseguro_auto	0.000521332411182178	0.00689917751945873	0.00183472497847006
cplazo_fijo	0.000486615038039561	0.0016650033167327	0.00108585764031902
ccheques_emitidos	0.000484145785526616	0.00365372592834494	0.00108585764031902
ctarjeta_master	0.000470564106533212	0.000138504581938597	0.000299546935260419
mprestamos_prendarios	0.000461968507556119	0.0106337868591669	0.00269592241734377
mcaja_ahorro_adicional	0.000425248714525907	0.00955744662656872	0.00299546935260419
Master_mconsumosdolares	0.000407696412894738	6.9554201051824e-06	7.48867338151047e-05
