Feature	Gain	Cover	Frequency
Master_fechaalta_lag1	0.00274101934919775	0.00251645918254011	0.00453715487190837
Visa_mconsumototal_delta2	0.00271958272033386	0.00192536271041	0.00478614507829359
mrentabilidad_lag2	0.00268731331371309	0.00252831179317324	0.0047308139213191
mcomisiones_mantenimiento_delta1	0.00268210889222019	0.00239340684354957	0.00376251867426548
Visa_mconsumototal_delta1	0.0026754986957957	0.00213444711685214	0.00481381065678083
Visa_mpagominimo_delta2	0.00265651109971627	0.00182078686026214	0.00398384330216345
mtransferencias_recibidas	0.00265199873812272	0.00194975144496054	0.00370718751729099
Visa_fultimo_cierre	0.0025837355878301	0.00336658724158987	0.00462015160737011
kmes	0.00258038912153326	0.0017347362870008	0.00450948929342113
mpasivos_margen_delta2	0.00257065131116125	0.00175903633786572	0.00453715487190837
rf_008_011	0.00252846755535047	0.000527140874352808	0.000525645991257677
kmes_lag2	0.00251442303778021	0.00141639430088277	0.00409450561611243
Visa_mconsumototal_lag2	0.00250762922398085	0.00189697239492303	0.00412217119459968
mpasivos_margen_delta1	0.00249945816050837	0.00178087175134307	0.00484147623526808
Master_fultimo_cierre	0.00249631900423088	0.00208145825419256	0.00478614507829359
Master_Fvencimiento_lag1	0.0024910825175836	0.00192849596029998	0.0043711614009849
Visa_cconsumos_lag2	0.00247080904672299	0.0014515805745763	0.0039561777236762
chomebanking_transacciones_delta1	0.0024691618183531	0.00296013621129636	0.00448182371493388
Visa_fechaalta_lag1	0.0024543284870278	0.00236408522919602	0.00387318098821446
mcaja_ahorro_lag1	0.00245402032642585	0.00298448505020514	0.00486914181375533
ctrx_quarter_lag2	0.00240923603759871	0.00168672981319365	0.00428816466552316
mcaja_ahorro_lag2	0.0023710323878124	0.00242014341258468	0.0043711614009849
Visa_cconsumos	0.00237065821344744	0.0018850361476433	0.00412217119459968
mcomisiones_mantenimiento_delta2	0.00236061728862349	0.00181933211134873	0.00329220383998229
ctarjeta_visa_transacciones_delta2	0.00234666917942046	0.00191313709955985	0.00279422342721186
internet	0.00234649258255604	0.00223689551988593	0.00190892491561999
Visa_msaldototal_delta2	0.00231990705020926	0.00178609808041476	0.00381784983123997
mttarjeta_visa_debitos_automaticos	0.00227771748699117	0.0016433276809829	0.0043158302440104
rf_001_002	0.00225368481433149	0.00018959057873437	0.000138327892436231
ccomisiones_otras	0.0022428820665962	0.00276514073444312	0.00401150888065069
Visa_fultimo_cierre_lag1	0.00224045879244036	0.00147564125159062	0.00392851214518896
cproductos_delta2	0.00223297210187498	0.00273791724631029	0.00135561334587506
Visa_fultimo_cierre_lag2	0.00222926287930112	0.00173960283429099	0.00406684003762519
